"Distance","Altitude","Speed"
"5294.31","264.6","2.799"
"5305.01","265.6","2.65"
"5320.39","266.79999999999995","2.65"
"5337.62","267.79999999999995","1.791"
"5358.52","268.20000000000005","1.624"
"5363.31","268.4","2.006"
"5380.83","268.79999999999995","2.79"
"5441.47","269.6","3.798"
"5460.07","270.0","3.91"
"5480.77","271.0","2.827"
"5497.2","272.20000000000005","3.62"
"5517.42","273.20000000000005","3.49"
"5535.93","274.20000000000005","3.266"
"5549.21","275.4","3.434"
"5558.33","276.4","3.294"
"5571.32","277.6","3.639"
"5585.37","278.6","2.566"
"5632.41","279.6","3.014"
"5691.91","279.4","4.553"
"5752.6","279.20000000000005","4.525"
"5769.68","278.79999999999995","4.143"
"5777.27","279.6","3.611"
"5840.51","279.0","5.356"
"5867.64","278.20000000000005","5.486"
"5930.37","278.20000000000005","4.74"
"5955.96","278.0","4.059"
"5965.33","278.0","3.042"
"5973.35","278.0","2.267"
"5981.77","278.20000000000005","0.0"
