"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"24991",3,4,2,8,"week  3","prob_email","2",1,"US"
"25001",3,4,2,0,"week  3","prob_email","2",0,"US"
"25021",3,3,2,0,"week  3","no_prob","2",0,"US"
"2507",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"25112",3,1,2,0,"week  3","no_email","2",0,"US"
"25141",3,5,2,0,"week  3","prob_email","2",0,"US"
"2520",3,1,2,80,"week  3","no_email","2",1,"US"
"25271",3,3,2,0,"week  3","no_prob","2",0,"US"
"25351",3,3,2,0,"week  3","no_prob","2",0,"US"
"25381",3,1,2,0,"week  3","no_email","2",0,"US"
"25393",3,4,2,0,"week  3","prob_email","2",0,"US"
"25401",3,4,2,0,"week  3","prob_email","2",0,"US"
"2541",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"2550",3,2,2,298,"week  3","no_prob","2",1,"US"
"25513",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"25521",3,2,2,180,"week  3","no_prob","2",1,"US"
"25532",3,6,2,24,"week  3","rel_prob_email","2",1,"US"
"25541",3,5,2,0,"week  3","prob_email","2",0,"US"
"25551",3,2,2,0,"week  3","no_prob","2",0,"US"
"25582",3,3,2,0,"week  3","no_prob","2",0,"US"
"25592",3,2,2,0,"week  3","no_prob","2",0,"US"
"25633",3,4,2,0,"week  3","prob_email","2",0,"US"
"25691",3,2,2,17,"week  3","no_prob","2",1,"US"
"25713",3,2,2,1856,"week  3","no_prob","2",1,"US"
"25742",3,1,2,60,"week  3","no_email","2",1,"US"
"25801",3,4,2,0,"week  3","prob_email","2",0,"US"
"25821",3,3,2,0,"week  3","no_prob","2",0,"US"
"25871",3,6,2,410,"week  3","rel_prob_email","2",1,"US"
"25891",3,5,2,0,"week  3","prob_email","2",0,"US"
"25912",3,1,2,0,"week  3","no_email","2",0,"US"
"25941",3,2,2,0,"week  3","no_prob","2",0,"US"
"25953",3,2,2,0,"week  3","no_prob","2",0,"US"
"25991",3,2,2,0,"week  3","no_prob","2",0,"US"
"26021",3,2,2,0,"week  3","no_prob","2",0,"US"
"26033",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
