"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"35681",3,4,2,0,"week  3","prob_email","2",0,"US"
"3569",3,4,2,0,"week  3","prob_email","2",0,"US"
"35711",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"35721",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"35731",3,2,2,0,"week  3","no_prob","2",0,"US"
"35741",3,4,2,0,"week  3","prob_email","2",0,"US"
"35751",3,5,2,0,"week  3","prob_email","2",0,"US"
"35802",3,1,2,0,"week  3","no_email","2",0,"US"
"35832",3,1,2,0,"week  3","no_email","2",0,"US"
"3585",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"35921",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"35931",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"3594",3,5,2,0,"week  3","prob_email","2",0,"US"
"3597",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3598",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
